Geographic_area,Indicator,Service_Type,Residence,Time_period,Observation_Value
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2017,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2018,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2019,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2020,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2021,38.5269121813031
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2017,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2018,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2019,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2020,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2021,22.662889518413589
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2017,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2018,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2019,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2020,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2021,38.8101983002833
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2017,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2018,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2019,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2020,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2021,5.2713178294573648
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2017,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2018,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2019,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2020,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2021,15.968992248062021
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2017,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2018,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2019,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2020,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2021,78.759689922480618
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2017,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2018,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2019,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2020,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2021,61.111111111111107
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2017,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2018,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2019,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2020,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2021,21.212121212121229
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2017,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2018,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2019,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2020,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2021,17.676767676767671
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2017,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2018,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2019,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2020,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2021,15.42553191489362
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2017,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2018,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2019,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2020,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2021,22.87234042553191
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2017,61.702127659574472
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2018,61.702127659574472
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2019,61.702127659574472
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2020,61.702127659574472
Sudan,Proportion of schools with no hygiene service,Hygiene,Urban,2021,61.702127659574472
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2017,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2018,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2019,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2020,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2021,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2017,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2018,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2019,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2020,43.473451327433629
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Total,2021,43.473451327433629
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2017,28.0800252844499
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2018,26.1683944374206
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2019,24.256763590391749
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2020,22.345132743362448
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2021,20.4335018963336
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2017,30.66036380467062
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2018,27.888620117568049
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2019,25.116876430464561
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2020,22.34513274336199
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Total,2021,19.573389056259419
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017,28.446523388116471
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2018,30.358154235145779
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2019,32.269785082174621
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2020,34.181415929203922
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2021,36.093046776232768
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017,25.86618486789575
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2018,28.637928554998329
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2019,31.409672242101809
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2020,34.181415929204377
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2021,36.953159616306948
Sudan,Proportion of schools with no drinking water service,Drinking Water,Total,2017,6.5409999999999968
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2017,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2018,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2019,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2020,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2021,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2017,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2018,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2019,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2020,7.5630252100840343
Sudan,Proportion of schools with basic hygiene services,Hygiene,Total,2021,7.5630252100840343
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2017,17.459483793517411
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2018,17.481992797118849
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2019,17.504501800720291
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2020,17.52701080432173
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2021,17.549519807923179
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2017,13.625573076230991
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2018,17.52701080432173
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2019,17.52701080432173
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2020,17.52701080432173
Sudan,Proportion of schools with limited hygiene services,Hygiene,Total,2021,17.52701080432173
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2017,78.811401713684972
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2018,74.909963985594231
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2019,74.909963985594231
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2020,74.909963985594231
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2021,74.909963985594231
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2017,74.977490996398572
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2018,74.954981992797116
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2019,74.932472989195674
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2020,74.909963985594231
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2021,74.887454981992789
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2017,36.0296864540955
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2018,36.0296864540955
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2019,36.0296864540955
Sudan,Proportion of schools with no hygiene service,Hygiene,Total,2020,36.0296864540955
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2017,38.0
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2018,38.0
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2019,38.0
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2020,38.0
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2017,28.099999999999991
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2018,28.099999999999991
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2019,28.099999999999991
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2020,28.099999999999991
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2021,28.099999999999991
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2017,10.400000000000009
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2018,10.400000000000009
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2019,10.400000000000009
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2020,10.400000000000009
Sudan,Proportion of schools with no sanitation service,Sanitation,Total,2021,10.400000000000009
